Designator,Mid X,Mid Y,Rotation,Layer
C1,247.4,-170.4925,0.0,top
C10,185.345,-124.969,180.0,top
C11,179.695,-129.899,270.0,top
C12,253.88,-138.4,0.0,top
C13,253.88,-136.37,0.0,top
C2,240.8625,-170.4925,0.0,top
C3,227.8625,-170.6925,0.0,top
C4,234.4,-170.4925,0.0,top
C5,250.4,-138.4,180.0,top
C7,189.0144,-121.976,90.0,top
C8,191.2444,-121.986,90.0,top
C9,185.345,-134.099,180.0,top
D1,247.4,-167.9525,180.0,top
D10,200.66,-188.468,90.0,top
D11,208.05,-183.0625,270.0,top
D12,245.55,-137.1361,90.0,top
D13,179.375,-114.535,90.0,top
D14,163.75,-120.0,0.0,top
D16,259.175,-176.575,270.0,top
D17,173.095,-130.299,270.0,top
D18,253.975,-176.276,0.0,top
D2,240.9125,-167.9525,180.0,top
D3,227.8625,-168.1525,180.0,top
D4,234.3375,-167.9525,180.0,top
D5,217.4675,-115.148,180.0,top
D6,217.4675,-119.72,180.0,top
D7,217.4675,-124.292,180.0,top
D8,217.4675,-129.204,180.0,top
D9,217.4675,-134.452,180.0,top
F1,211.4,-183.35,270.0,top
F2,216.4,-183.35,270.0,top
F3,168.71,-147.1,270.0,top
F4,170.25,-115.0,90.0,top
F5,165.0,-115.0,90.0,top
J1,165.04,-188.38,0.0,top
J2,170.03,-110.0875,180.0,top
J3,182.0,-110.0875,180.0,top
J4,206.408,-188.468,0.0,top
J5,260.15,-110.0875,180.0,top
J6,225.15,-188.38,0.0,top
J7,245.9228,-164.3888,90.0,top
J8,203.962,-146.5072,0.0,top
PS1,181.9,-171.55,90.0,top
R1,247.2875,-181.4175,180.0,top
R10,224.7875,-180.8875,270.0,top
R11,234.4875,-181.4175,180.0,top
R12,231.4,-180.6875,270.0,top
R13,224.6875,-172.875,270.0,top
R14,231.2,-172.675,270.0,top
R15,224.6875,-168.8375,90.0,top
R16,231.2,-168.6375,90.0,top
R17,217.4675,-117.18,0.0,top
R18,217.4675,-121.752,0.0,top
R19,217.4675,-126.492,0.0,top
R2,244.4,-180.6875,270.0,top
R20,217.4675,-131.404,0.0,top
R21,217.4675,-136.652,0.0,top
R22,215.85,-173.865,180.0,top
R23,214.0,-182.7875,90.0,top
R24,219.0,-173.15,90.0,top
R27,211.7344,-142.1365,90.0,top
R28,211.7344,-145.5909,90.0,top
R29,211.7344,-149.0453,90.0,top
R3,240.9125,-181.4175,180.0,top
R30,211.7344,-152.4997,90.0,top
R31,211.7344,-155.9541,90.0,top
R32,211.7344,-159.4085,90.0,top
R33,250.4075,-136.41,0.0,top
R39,247.65,-137.1111,270.0,top
R4,237.9125,-180.6875,270.0,top
R42,202.1912,-120.61,180.0,top
R43,183.05,-114.75,90.0,top
R44,175.75,-114.775,90.0,top
R45,167.25,-120.0,180.0,top
R47,261.68,-176.575,270.0,top
R5,244.4,-172.675,270.0,top
R6,237.9125,-172.675,270.0,top
R7,244.4,-168.6375,90.0,top
R8,237.9125,-168.6375,90.0,top
R9,227.6875,-181.6175,180.0,top
RV1,184.0,-179.45,0.0,top
U1,211.362,-178.318,0.0,top
U10,235.265,-125.21,90.0,top
U11,240.87,-125.21,90.0,top
U12,215.35,-177.915,270.0,top
U13,196.1724,-121.285,180.0,top
U14,179.375,-119.8,0.0,top
U15,188.355,-129.539,180.0,top
U16,256.4925,-182.7,180.0,top
U17,245.88,-149.67,270.0,top
U2,247.2,-176.5325,90.0,top
U3,240.7125,-176.5325,90.0,top
U4,227.5925,-176.7325,90.0,top
U5,234.1875,-176.5325,90.0,top
U6,209.637,-125.53,0.0,top
U7,246.475,-125.21,90.0,top
U8,252.08,-125.21,90.0,top
U9,229.66,-125.21,90.0,top
