Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C2, C3, C4, C5",0805,6,0.1uF,
"C10, C7, C9",0805,3,0.1uF / 25V,
C11,CP_Elec_6.3x5.7,1,47uF,
C12,0805,1,22uF,
C8,0805,1,0.1uF / 50V,
"D1, D10, D12, D14, D16, D2, D3, D4, D5, D6, D7, D8, D9",0805,13,LED,
"D11, D13",SOT-23,2,SM712_SOT23,
"D17, D18",D_SMB,2,1SMA5918BT3G,
"F1, F2",RESC3115X65N,2,PTS120660V010,
F3,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,1,Fuse,
"F4, F5",RESC3115X65N,2,Fuse,
"J1, J2, J3",CUI_TBP04R12-500-02GR,3,Screw_Terminal_01x02,
J4,CUI_TBP04R12-500-03GR,1,Screw_Terminal_01x03,
"J5, J6",CUI_TBP04R12-500-08GR,2,Screw_Terminal_01x08,
J7,PinHeader_2x03_P2.54mm_Vertical,1,Screw_Terminal_01x06,
J8,PinHeader_2x05_P2.54mm_Vertical,1,ESP32-JTAG,
PS1,Converter_ACDC_HiLink_HLK-PMxx,1,HLK-PM12,
"R1, R11, R3, R9",0805,4,330,
"R10, R12, R2, R4, R43, R44",0805,6,10,
"R13, R14, R28, R29, R30, R31, R32, R5, R6",0805,9,10k,
"R15, R16, R39, R7, R8",0805,5,470,
"R17, R18, R19, R20, R21",0805,5,1K,
R22,0805,1,2.2k,
"R23, R24",0805,2,2.2,
"R27, R33",0805,2,22K,
R42,0805,1,10 / 1%,
"R45, R47",0805,2,R,
RV1,VAR_B72210S1140K501,1,V10E275P,
U1,TD521D485H-E,1,TD521D485H-E,
"U10, U11, U7, U8, U9",AZ921,5,AZ921,
"U12, U14",SMBJ12CA,2,SMBJ12CA,
U13,SOIC127P600X175-8N,1,SP485ECN-L,SP485ECN-L
U15,TO-252-2,1,3v3 NJM2885DL1-33,
U16,CONV_B0505S-1WR2,1,B0303S-W2R2,
U17,ESP32-WROOM-32,1,ESP32-WROOM-32,
"U2, U3, U4, U5",FODM2705,4,FODM2705,
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,ULN2003A,
